2024-06-06 05:20:54.781504, -1001552004524_35091, TOMOUSDT, short, standard3-1
2024-06-06 05:25:23.008581, -1001487278892_9578, BTCUSDT, short, standard3-1
2024-06-06 05:48:11.791508, -1001552004524_35094, TOMOUSDT, short, standard3-1
2024-06-06 07:22:38.199200, -1001552004524_35101, TOMOUSDT, short, standard3-1
2024-06-06 07:47:49.789405, -1001552004524_35104, TOMOUSDT, short, standard3-1
2024-06-06 08:14:04.048747, -1001553551852_38374, BAKEUSDT, short, standard3-1
2024-06-06 08:16:02.456886, -1001553551852_38375, EOSUSDT, long, standard3-1
2024-06-06 08:18:28.375333, -1001487278892_9583, ETHUSDT, short, standard3-1
2024-06-06 08:20:28.734562, -1001630692598_13070, SATSUSDT, long, standard3-1
2024-06-06 08:21:07.909068, -1001552004524_35107, BTCUSDT, short, standard3-1
2024-06-06 08:30:19.032791, -1001630692598_13072, KASUSDT, long, standard3-1
2024-06-06 08:38:24.565221, -1001233154810_3288, BTCUSDT, long, standard3-1
2024-06-06 08:45:26.877023, -1001902940198_12910, OMNIUSDT, long, standard3-1
2024-06-06 08:45:30.101315, -1001902940198_12911, OMNIUSDT, long, standard3-1
2024-06-06 08:51:59.938087, -1001553551852_38378, GMXUSDT, long, standard3-1
2024-06-06 09:06:16.972771, -1001962664913_2683, RAYUSDT, long, standard3-1
2024-06-06 09:11:21.638521, -1001652601224_65472, ETHUSDT, long, standard3-1
2024-06-06 09:11:48.599779, -1001652601224_65473, ETHUSDT, long, standard3-1
2024-06-06 09:15:27.149421, -1001591264082_7328, ENJUSDT, long, standard3-1
2024-06-06 09:16:02.536345, -1001781413045_79479, PEOPLEUSDT, short, standard3-1
2024-06-06 09:16:46.621565, -1001756316676_43275, SANDUSDT, long, standard3-1
2024-06-06 09:19:58.996140, -1001553551852_38380, RSRUSDT, long, standard3-1
2024-06-06 09:28:10.670357, -1001882052882_3633, FLRUSDT, long, standard3-1
2024-06-06 09:31:00.549120, -1001197799988_38216, OPUSDT, long, standard3-1
2024-06-06 09:31:20.234279, -1001853603830_3555, LINKIDUSDT, long, standard3-1
2024-06-06 09:32:44.882126, -1001781413045_79482, RSRUSDT, long, standard3-1
2024-06-06 09:33:33.776410, -1001487278892_9586, SPOTUSDT, short, standard3-1
2024-06-06 09:41:50.103405, -1001233154810_3289, APTUSDT, long, standard3-1
2024-06-06 09:42:08.334952, -1001913353132_1280, ETHUSDT, long, standard3-1
2024-06-06 09:44:32.256233, -1001756316676_43276, LINKUSDT, short, standard3-1
2024-06-06 09:55:44.088548, -1001763937690_3640, NEOUSDT, short, standard3-1
2024-06-06 09:56:00.537704, -1001902940198_12923, ROSEUSDT, long, standard3-1
2024-06-06 09:56:04.569567, -1001902940198_12922, ROSEUSDT, long, standard3-1
2024-06-06 09:57:21.014657, -1001555625124_34291, ROSEUSDT, long, standard3-1
2024-06-06 10:02:16.517341, -1001747188464_4690, OPUSDT, short, standard3-1
2024-06-06 10:04:00.620210, -1001646418210_2061, AAVEUSDT, short, standard3-1
