2024-06-05 09:00:14.255185, -1001233154810_3280, ETCUSDT, long, standard3-1
2024-06-05 09:09:24.304123, -1001552004524_35034, 1000PEPEUSDT, long, standard3-1
2024-06-05 09:11:01.739505, -1001591264082_7315, COMPUSDT, long, standard3-1
2024-06-05 09:19:50.485221, -1001630692598_13037, EGLDUSDT, long, standard3-1
2024-06-05 09:20:42.453329, -1001678077087_35786, 1000PEPEUSDT, long, standard3-1
2024-06-05 09:34:31.947631, -1001902940198_12879, RENUSDT, long, standard3-1
2024-06-05 09:40:57.152580, -1001553551852_38318, ARBUSDT, long, standard3-1
2024-06-05 09:43:44.218196, -1001939319331_11777, BNBUSDT, long, standard3-1
2024-06-05 09:44:31.841707, -1001902940198_12888, ENJUSDT, long, standard3-1
2024-06-05 10:14:32.239359, -1001537586252_15810, ORDIUSDT, long, standard3-1
2024-06-05 10:20:08.599490, -1001939452549_8141, BLURUSDT, long, standard3-1
2024-06-05 10:53:09.325788, -1001748903081_2168, CRVUSDT, short, standard3-1
2024-06-05 11:13:49.005056, -1001939319331_11782, MYROUSDT, long, standard3-1
2024-06-05 11:43:30.777883, -1001354362183_51547, ORDIUSDT, long, standard3-1
2024-06-05 12:04:13.590413, -1001317169843_11945, METISUSDT, long, standard3-1
2024-06-05 12:04:36.698508, -1001851528268_2053, LTCUSDT, long, standard3-1
2024-06-05 12:07:04.391410, -1001630692598_13040, KASUSDT, short, standard3-1
2024-06-05 12:07:07.576501, -1001553551852_38326, KASUSDT, long, standard3-1
2024-06-05 12:07:11.794503, 53435331_13924, KASUSDT, short, standard3-1
2024-06-05 12:42:17.630300, -1001913353132_1266, AAVEUSDT, short, standard3-1
2024-06-05 12:53:41.149059, 53435331_13925, TONUSDT, short, standard3-1
2024-06-05 12:59:40.162002, -1001877806179_2143, RUNEUSDT, long, standard3-1
2024-06-05 12:59:49.531767, -1001643557609_8082, LTCUSDT, short, standard3-1
2024-06-05 13:26:11.924726, 53435331_13927, TONUSDT, short, standard3-1
2024-06-05 13:27:38.040396, 53435331_13928, TONUSDT, short, standard3-1
2024-06-05 13:32:14.458739, -1001678077087_35789, BTCUSDT, short, standard3-1
2024-06-05 13:52:30.862655, 53435331_13935, TONUSDT, short, standard3-1
2024-06-05 13:55:43.212355, 53435331_13937, TONUSDT, short, standard3-1
2024-06-05 13:58:41.585076, 53435331_13938, TONUSDT, short, standard3-1
